# The coordinates for the HyCal is a left-handed Cartesian frame               #
#==============================================================================#
#       front view          |               side view                          #
#           +Y              |                                                  #
# -X        O       +X      |  Beam(-Z)    O(HyCal PbWO4 Surface)  PMTs(+Z)    #
#           -Y              |                                                  #
#==============================================================================#
#   name      type  size_x  size_y  size_z           x           y           z #
#==============================================================================#
      G1   PbGlass   38.15   38.15     450    -543.435     562.575       -97.3
      G2   PbGlass   38.15   38.15     450    -505.285     562.575       -97.3
      G3   PbGlass   38.15   38.15     450    -467.135     562.575       -97.3
      G4   PbGlass   38.15   38.15     450    -428.985     562.575       -97.3
      G5   PbGlass   38.15   38.15     450    -390.835     562.575       -97.3
      G6   PbGlass   38.15   38.15     450    -352.685     562.575       -97.3
      G7   PbGlass   38.15   38.15     450    -314.535     562.575       -97.3
      G8   PbGlass   38.15   38.15     450    -276.385     562.575       -97.3
      G9   PbGlass   38.15   38.15     450    -238.235     562.575       -97.3
     G10   PbGlass   38.15   38.15     450    -200.085     562.575       -97.3
     G11   PbGlass   38.15   38.15     450    -161.935     562.575       -97.3
     G12   PbGlass   38.15   38.15     450    -123.785     562.575       -97.3
     G13   PbGlass   38.15   38.15     450     -85.635     562.575       -97.3
     G14   PbGlass   38.15   38.15     450     -47.485     562.575       -97.3
     G15   PbGlass   38.15   38.15     450      -9.335     562.575       -97.3
     G16   PbGlass   38.15   38.15     450      28.815     562.575       -97.3
     G17   PbGlass   38.15   38.15     450      66.965     562.575       -97.3
     G18   PbGlass   38.15   38.15     450     105.115     562.575       -97.3
     G19   PbGlass   38.15   38.15     450     143.265     562.575       -97.3
     G20   PbGlass   38.15   38.15     450     181.415     562.575       -97.3
     G21   PbGlass   38.15   38.15     450     219.565     562.575       -97.3
     G22   PbGlass   38.15   38.15     450     257.715     562.575       -97.3
     G23   PbGlass   38.15   38.15     450     295.865     562.575       -97.3
     G24   PbGlass   38.15   38.15     450     334.015     562.575       -97.3
     G25   PbGlass   38.15   38.15     450     372.165     543.775       -97.3
     G26   PbGlass   38.15   38.15     450     410.315     543.775       -97.3
     G27   PbGlass   38.15   38.15     450     448.465     543.775       -97.3
